,level,subject,gender,year,value_perc,category
341,Basic,Maths,Altogether,2018,55.6,Sciences
342,Basic,English,Altogether,2018,73.1,Languages
343,Basic,German,Altogether,2018,61.4,Languages
344,Basic,French,Altogether,2018,82.2,Languages
345,Basic,Russian,Altogether,2018,60.7,Languages
346,Basic,Spanish ,Altogether,2018,79.0,Languages
347,Basic,Italian ,Altogether,2018,81.8,Languages
348,Advanced,Polish ,Women,2018,51.8,Humanistic
349,Advanced,Belarusian,Women,2018,100.0,Languages
350,Advanced,Lithuanian ,Women,2018,87.3,Languages
351,Advanced,Ukrainian ,Women,2018,85.1,Languages
352,Advanced,Maths,Women,2018,31.5,Sciences
353,Advanced,English,Women,2018,56.8,Languages
354,Advanced,German,Women,2018,53.7,Languages
355,Advanced,French,Women,2018,67.3,Languages
356,Advanced,Russian,Women,2018,59.5,Languages
357,Advanced,Spanish ,Women,2018,55.6,Languages
358,Advanced,Italian ,Women,2018,68.8,Languages
359,Advanced,Civics,Women,2018,26.6,Humanistic
360,Advanced,Geography,Women,2018,30.3,Sciences
361,Advanced,Biology,Women,2018,31.7,Sciences
362,Advanced,Chemistry,Women,2018,38.4,Sciences
363,Advanced,History,Women,2018,31.3,Humanistic
364,Advanced,Physics,Women,2018,35.5,Sciences
365,Advanced,History of music,Women,2018,53.7,Humanistic
366,Advanced,History of art,Women,2018,45.6,Humanistic
367,Advanced,Philosophy,Women,2018,42.2,Humanistic
368,Advanced,Latin and ancient culture,Women,2018,53.9,Languages
369,Advanced,Informatics,Women,2018,37.4,Sciences
370,Advanced,Kashubian,Women,2018,63.3,Languages
371,Advanced,Lemko ,Women,2018,92.3,Languages
372,Advanced,Polish ,Men,2018,48.9,Humanistic
373,Advanced,Belarusian,Men,2018,100.0,Languages
374,Advanced,Lithuanian ,Men,2018,75.5,Languages
375,Advanced,Ukrainian ,Men,2018,77.3,Languages
376,Advanced,Maths,Men,2018,26.8,Sciences
377,Advanced,English,Men,2018,57.9,Languages
378,Advanced,German,Men,2018,55.6,Languages
379,Advanced,French,Men,2018,65.6,Languages
380,Advanced,Russian,Men,2018,59.1,Languages
381,Advanced,Spanish ,Men,2018,55.0,Languages
382,Advanced,Italian ,Men,2018,71.7,Languages
383,Advanced,Civics,Men,2018,29.9,Humanistic
384,Advanced,Geography,Men,2018,30.6,Sciences
385,Advanced,Biology,Men,2018,33.0,Sciences
386,Advanced,Chemistry,Men,2018,43.5,Sciences
387,Advanced,History,Men,2018,33.3,Humanistic
388,Advanced,Physics,Men,2018,34.9,Sciences
389,Advanced,History of music,Men,2018,34.9,Humanistic
390,Advanced,History of art,Men,2018,38.7,Humanistic
391,Advanced,Philosophy,Men,2018,35.8,Humanistic
392,Advanced,Latin and ancient culture,Men,2018,65.2,Languages
393,Advanced,Informatics,Men,2018,33.8,Sciences
394,Advanced,Kashubian,Men,2018,46.5,Languages
395,Advanced,Lemko ,Men,2018,95.0,Languages
396,Advanced,Polish ,Altogether,2018,51.1,Humanistic
397,Advanced,Belarusian,Altogether,2018,100.0,Languages
398,Advanced,Lithuanian ,Altogether,2018,83.4,Languages
399,Advanced,Ukrainian ,Altogether,2018,83.6,Languages
400,Advanced,Maths,Altogether,2018,28.6,Sciences
401,Advanced,English,Altogether,2018,57.3,Languages
402,Advanced,German,Altogether,2018,54.3,Languages
403,Advanced,French,Altogether,2018,67.0,Languages
404,Advanced,Russian,Altogether,2018,59.3,Languages
405,Advanced,Spanish ,Altogether,2018,55.5,Languages
406,Advanced,Italian ,Altogether,2018,69.6,Languages
407,Advanced,Civics,Altogether,2018,27.9,Humanistic
408,Advanced,Geography,Altogether,2018,30.4,Sciences
